001 | 001 | teclado | 15.5 | 2 | 30/11/2018
001 | 002 | pantalla | 99 | 2 | 30/11/2018
001 | 009 | usb 250G | 34.99 | 1 | 30/11/2018
001 | 015 | movil 3g | 240.40 | 2 | 30/11/2018
003 | 005 | raton | 9.9 | 3 | 30/11/2018
003 | 007 | disco duro | 66.50 | 3 | 30/11/2018
003 | 010 | tarjeta gráfica | 120.32 | 3 | 30/11/2018
004 | 010 | tarjeta gráfica | 120.32 | 1 | 30/11/2018
004 | 009 | usb 250G | 34.99 | 4 | 30/11/2018
004 | 001 | teclado | 15.5 | 2 | 30/11/2018
004 | 011 | cable red | 11.50 | 5 | 30/11/2018
005 | 011 | cable red | 11.50 | 10 | 30/11/2018
005 | 015 | movil 3g | 240.40 | 1 | 30/11/2018
005 | 001 | teclado | 15.5 | 8 | 30/11/2018
007 | 010 | tarjeta gráfica | 120.32 | 1 | 30/11/2018
007 | 005 | raton | 9.9 | 1 | 30/11/2018
007 | 001 | teclado | 15.5 | 5 | 30/11/2018
007 | 009 | usb 250G | 34.99 | 2 | 30/11/2018
007 | 020 | memoria ram 8G | 140.5 | 1 | 30/11/2018
008 | 032 | auriculares | 15.99 | 5 | 30/11/2018
